Granularidade_Geografica;Categoria;Filtro;Localidade;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Alagoas;Localidade;Total;Estado;Alagoas;AL;2016;0,287;%;5.5
Sergipe;Localidade;Total;Estado;Sergipe;SE;2016;0,243;%;5.5
Bahia;Localidade;Total;Estado;Bahia;BA;2016;0,24;%;5.5
Sudeste;Localidade;Total;Região;;;2016;0,108;%;5.5
Minas Gerais;Localidade;Total;Estado;Minas Gerais;MG;2016;0,144;%;5.5
Espírito Santo;Localidade;Total;Estado;Espírito Santo;ES;2016;0,142;%;5.5
Rio de Janeiro;Localidade;Total;Estado;Rio de Janeiro;RJ;2016;0,097;%;5.5
São Paulo;Localidade;Total;Estado;São Paulo;SP;2016;0,093;%;5.5
Sul;Localidade;Total;Região;;;2016;0,119;%;5.5
Paraná;Localidade;Total;Estado;Paraná;PR;2016;0,146;%;5.5
Santa Catarina;Localidade;Total;Estado;Santa Catarina;SC;2016;0,105;%;5.5
Rio Grande do Sul;Localidade;Total;Estado;Rio Grande do Sul;RS;2016;0,102;%;5.5
Centro-Oeste;Localidade;Total;Região;;;2016;0,149;%;5.5
Mato Grosso do Sul;Localidade;Total;Estado;Mato Grosso do Sul;MS;2016;0,164;%;5.5
Mato Grosso;Localidade;Total;Estado;Mato Grosso;MT;2016;0,178;%;5.5
Goiás;Localidade;Total;Estado;Goiás;GO;2016;0,154;%;5.5
Distrito Federal;Localidade;Total;Estado;Distrito Federal;DF;2016;0,09;%;5.5
Brasil;Localidade;Total;Brasil;;;2017;0,143;%;5.5
Norte;Localidade;Total;Região;;;2017;0,173;%;5.5
Rondônia;Localidade;Total;Estado;Rondônia;RO;2017;0,17;%;5.5
Acre;Localidade;Total;Estado;Acre;AC;2017;0,204;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2017;0,137;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2017;0,106;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2017;0,192;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2017;0,121;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2017;0,189;%;5.5
Nordeste;Localidade;Total;Região;;;2017;0,231;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2017;0,255;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2017;0,255;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2017;0,228;%;5.5
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2017;0,209;%;5.5
Paraíba;Localidade;Total;Estado;Paraíba;PB;2017;0,249;%;5.5
Pernambuco;Localidade;Total;Estado;Pernambuco;PE;2017;0,204;%;5.5
Alagoas;Localidade;Total;Estado;Alagoas;AL;2017;0,272;%;5.5
Sergipe;Localidade;Total;Estado;Sergipe;SE;2017;0,226;%;5.5
Bahia;Localidade;Total;Estado;Bahia;BA;2017;0,229;%;5.5
Sudeste;Localidade;Total;Região;;;2017;0,096;%;5.5
Minas Gerais;Localidade;Total;Estado;Minas Gerais;MG;2017;0,134;%;5.5
Espírito Santo;Localidade;Total;Estado;Espírito Santo;ES;2017;0,12;%;5.5
Rio de Janeiro;Localidade;Total;Estado;Rio de Janeiro;RJ;2017;0,089;%;5.5
São Paulo;Localidade;Total;Estado;São Paulo;SP;2017;0,079;%;5.5
Sul;Localidade;Total;Região;;;2017;0,109;%;5.5
Paraná;Localidade;Total;Estado;Paraná;PR;2017;0,139;%;5.5
Santa Catarina;Localidade;Total;Estado;Santa Catarina;SC;2017;0,085;%;5.5
Rio Grande do Sul;Localidade;Total;Estado;Rio Grande do Sul;RS;2017;0,094;%;5.5
Centro-Oeste;Localidade;Total;Região;;;2017;0,129;%;5.5
Mato Grosso do Sul;Localidade;Total;Estado;Mato Grosso do Sul;MS;2017;0,149;%;5.5
Mato Grosso;Localidade;Total;Estado;Mato Grosso;MT;2017;0,163;%;5.5
Goiás;Localidade;Total;Estado;Goiás;GO;2017;0,134;%;5.5
Distrito Federal;Localidade;Total;Estado;Distrito Federal;DF;2017;0,064;%;5.5
Brasil;Localidade;Total;Brasil;;;2018;0,136;%;5.5
Norte;Localidade;Total;Região;;;2018;0,163;%;5.5
Rondônia;Localidade;Total;Estado;Rondônia;RO;2018;0,158;%;5.5
Acre;Localidade;Total;Estado;Acre;AC;2018;0,198;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2018;0,131;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2018;0,117;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2018;0,177;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2018;0,123;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2018;0,187;%;5.5
Nordeste;Localidade;Total;Região;;;2018;0,22;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2018;0,241;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2018;0,252;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2018;0,207;%;5.5
Rio Grande do Norte;Localidade;Total;Estado;Rio Grande do Norte;RN;2018;0,194;%;5.5
Paraíba;Localidade;Total;Estado;Paraíba;PB;2018;0,244;%;5.5
Pernambuco;Localidade;Total;Estado;Pernambuco;PE;2018;0,185;%;5.5
Alagoas;Localidade;Total;Estado;Alagoas;AL;2018;0,252;%;5.5
Sergipe;Localidade;Total;Estado;Sergipe;SE;2018;0,228;%;5.5
Bahia;Localidade;Total;Estado;Bahia;BA;2018;0,226;%;5.5
Sudeste;Localidade;Total;Região;;;2018;0,092;%;5.5
Minas Gerais;Localidade;Total;Estado;Minas Gerais;MG;2018;0,129;%;5.5
Espírito Santo;Localidade;Total;Estado;Espírito Santo;ES;2018;0,118;%;5.5
Rio de Janeiro;Localidade;Total;Estado;Rio de Janeiro;RJ;2018;0,077;%;5.5
São Paulo;Localidade;Total;Estado;São Paulo;SP;2018;0,079;%;5.5
Sul;Localidade;Total;Região;;;2018;0,103;%;5.5
Paraná;Localidade;Total;Estado;Paraná;PR;2018;0,127;%;5.5
Santa Catarina;Localidade;Total;Estado;Santa Catarina;SC;2018;0,082;%;5.5
Rio Grande do Sul;Localidade;Total;Estado;Rio Grande do Sul;RS;2018;0,093;%;5.5
Centro-Oeste;Localidade;Total;Região;;;2018;0,122;%;5.5
Mato Grosso do Sul;Localidade;Total;Estado;Mato Grosso do Sul;MS;2018;0,136;%;5.5
Mato Grosso;Localidade;Total;Estado;Mato Grosso;MT;2018;0,148;%;5.5
Goiás;Localidade;Total;Estado;Goiás;GO;2018;0,128;%;5.5
Distrito Federal;Localidade;Total;Estado;Distrito Federal;DF;2018;0,066;%;5.5
Brasil;Localidade;Total;Brasil;;;2019;0,131;%;5.5
Norte;Localidade;Total;Região;;;2019;0,157;%;5.5
Rondônia;Localidade;Total;Estado;Rondônia;RO;2019;0,147;%;5.5
Acre;Localidade;Total;Estado;Acre;AC;2019;0,187;%;5.5
Amazonas;Localidade;Total;Estado;Amazonas;AM;2019;0,116;%;5.5
Roraima;Localidade;Total;Estado;Roraima;RR;2019;0,102;%;5.5
Pará;Localidade;Total;Estado;Pará;PA;2019;0,176;%;5.5
Amapá;Localidade;Total;Estado;Amapá;AP;2019;0,128;%;5.5
Tocantins;Localidade;Total;Estado;Tocantins;TO;2019;0,185;%;5.5
Nordeste;Localidade;Total;Região;;;2019;0,217;%;5.5
Maranhão;Localidade;Total;Estado;Maranhão;MA;2019;0,231;%;5.5
Piauí;Localidade;Total;Estado;Piauí;PI;2019;0,248;%;5.5
Ceará;Localidade;Total;Estado;Ceará;CE;2019;0,215;%;5.5
